,Squad,Comp,Player,Pos,Age,MP,Starts_Playing_Time,Min_Playing_Time,Mins_Per_90_Playing_Time,Gls,Ast,G_minus_PK,PK,PKatt,CrdY,CrdR,Gls_Per_Minutes,Ast_Per_Minutes,G+A_Per_Minutes,G_minus_PK_Per_Minutes,G+A_minus_PK_Per_Minutes,MP_Playing_Time
11,2022 Ecuador,WCQ — CONMEBOL M,Gonzalo Plata,"FW,MF",21.0,16.0,7,891.0,9.9,3.0,1.0,3.0,0.0,0.0,4.0,1.0,0.3,0.1,0.4,0.3,0.4,
12,2022 Ecuador,WCQ — CONMEBOL M,Byron Castillo,"DF,MF",23.0,8.0,7,613.0,6.8,0.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.15,0.15,0.0,0.15,
13,2022 Ecuador,WCQ — CONMEBOL M,Xavier Arreaga,DF,27.0,9.0,7,612.0,6.8,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.15,0.15,0.29,0.15,0.29,
14,2022 Ecuador,WCQ — CONMEBOL M,Alan Franco,MF,23.0,12.0,7,581.0,6.5,0.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.15,0.15,0.0,0.15,
15,2022 Ecuador,WCQ — CONMEBOL M,Hernán Galíndez,GK,34.0,6.0,5,468.0,5.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
16,2022 Ecuador,WCQ — CONMEBOL M,Jhegson Méndez,MF,24.0,7.0,4,321.0,3.6,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,
17,2022 Ecuador,WCQ — CONMEBOL M,Ayrton Preciado,MF,27.0,7.0,3,252.0,2.8,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,
18,2022 Ecuador,WCQ — CONMEBOL M,Jeremy Sarmiento,MF,19.0,5.0,2,236.0,2.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
19,2022 Ecuador,WCQ — CONMEBOL M,Romario Ibarra,"MF,FW",27.0,4.0,2,184.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
20,2022 Ecuador,WCQ — CONMEBOL M,Moisés Ramírez,GK,21.0,2.0,2,180.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
21,2022 Ecuador,WCQ — CONMEBOL M,Luis Fernando León,DF,28.0,2.0,2,179.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.5,
22,2022 Ecuador,WCQ — CONMEBOL M,Joao Joshimar Rojas,"MF,FW",24.0,6.0,2,172.0,1.9,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,
23,2022 Ecuador,WCQ — CONMEBOL M,Renato Ibarra,MF,31.0,3.0,2,171.0,1.9,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,
24,2022 Ecuador,WCQ — CONMEBOL M,Junior Sornoza,"MF,FW",28.0,3.0,2,135.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,
25,2022 Ecuador,WCQ — CONMEBOL M,Pedro Perlaza,DF,30.0,2.0,2,131.0,1.5,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,
26,2022 Ecuador,WCQ — CONMEBOL M,Fernando Gaibor,MF,30.0,2.0,2,121.0,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
27,2022 Ecuador,WCQ — CONMEBOL M,Pedro Ortíz,GK,31.0,2.0,1,145.0,1.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
28,2022 Ecuador,WCQ — CONMEBOL M,Jordy Caicedo,FW,24.0,6.0,1,121.0,1.3,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.74,0.0,0.74,0.0,0.0,
29,2022 Ecuador,WCQ — CONMEBOL M,José Cifuentes,MF,22.0,2.0,1,88.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
30,2022 Ecuador,WCQ — CONMEBOL M,Christian Cruz,DF,29.0,1.0,1,85.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
31,2022 Ecuador,WCQ — CONMEBOL M,Beder Caicedo,DF,29.0,2.0,1,81.0,0.9,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.11,0.0,1.11,1.11,1.11,
32,2022 Ecuador,WCQ — CONMEBOL M,José Carabalí,MF,24.0,1.0,1,64.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
33,2022 Ecuador,WCQ — CONMEBOL M,Djorkaeff Reasco,FW,23.0,1.0,1,63.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
34,2022 Ecuador,WCQ — CONMEBOL M,José Hurtado,DF,20.0,1.0,1,56.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
35,2022 Ecuador,WCQ — CONMEBOL M,Erick Ferigra,DF,22.0,1.0,1,45.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
36,2022 Ecuador,WCQ — CONMEBOL M,Adolfo Muñoz,MF,24.0,1.0,1,31.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
37,2022 Ecuador,WCQ — CONMEBOL M,Christian Noboa,MF,36.0,2.0,0,51.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
38,2022 Ecuador,WCQ — CONMEBOL M,Fidel Martínez,"FW,MF",31.0,2.0,0,47.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
39,2022 Ecuador,WCQ — CONMEBOL M,Diego Palacios,DF,22.0,3.0,0,39.0,0.4,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,
40,2022 Ecuador,WCQ — CONMEBOL M,Janner Corozo,"DF,MF",26.0,1.0,0,27.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
41,2022 Ecuador,WCQ — CONMEBOL M,Damián Díaz,MF,35.0,1.0,0,26.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
42,2022 Ecuador,WCQ — CONMEBOL M,Brayan Angulo,FW,26.0,4.0,0,25.0,0.3,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.6,3.6,0.0,3.6,
43,2022 Ecuador,WCQ — CONMEBOL M,Romario Caicedo,"DF,MF",31.0,1.0,0,25.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
44,2022 Ecuador,WCQ — CONMEBOL M,Washington Corozo,"FW,MF",23.0,1.0,0,25.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
45,2022 Ecuador,WCQ — CONMEBOL M,Michael Carcelen,MF,24.0,3.0,0,23.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
46,2022 Ecuador,WCQ — CONMEBOL M,Jhojan Julio,MF,23.0,1.0,0,8.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
47,2022 Ecuador,WCQ — CONMEBOL M,Juan Cazares,MF,29.0,1.0,0,7.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
48,2022 Ecuador,WCQ — CONMEBOL M,Leonardo Campana,FW,21.0,1.0,0,6.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
49,2022 Ecuador,WCQ — CONMEBOL M,Jordy Alcivar,MF,22.0,0.0,0,,,,,,,,,,,,,,,
50,2022 Ecuador,WCQ — CONMEBOL M,Dixon Arroyo,MF,29.0,0.0,0,,,,,,,,,,,,,,,
51,2022 Ecuador,WCQ — CONMEBOL M,Moisés Corozo,DF,29.0,0.0,0,,,,,,,,,,,,,,,
52,2022 Ecuador,WCQ — CONMEBOL M,José Enrique Angulo,FW,26.0,0.0,0,,,,,,,,,,,,,,,
53,2022 Ecuador,WCQ — CONMEBOL M,José Gabriel Cevallos,GK,23.0,0.0,0,,,,,,,,,,,,,,,
54,2022 Ecuador,WCQ — CONMEBOL M,Carlos Garcés,FW,31.0,0.0,0,,,,,,,,,,,,,,,
55,2022 Ecuador,WCQ — CONMEBOL M,Franklin Guerra,"DF,MF",29.0,0.0,0,,,,,,,,,,,,,,,
56,2022 Ecuador,WCQ — CONMEBOL M,Mario Pineida,DF,29.0,0.0,0,,,,,,,,,,,,,,,
57,2022 Ecuador,WCQ — CONMEBOL M,Jorge Pinos,GK,32.0,0.0,0,,,,,,,,,,,,,,,
58,2022 Ecuador,WCQ — CONMEBOL M,Jackson Porozo,DF,21.0,0.0,0,,,,,,,,,,,,,,,
0,2022 Netherlands,WCQ — UEFA M,Memphis Depay,"FW,MF",27.0,10.0,10,899.0,10.0,12.0,6.0,8.0,4.0,6.0,0.0,0.0,1.2,0.6,1.8,0.8,1.4,
1,2022 Netherlands,WCQ — UEFA M,Frenkie de Jong,MF,24.0,10.0,10,803.0,8.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2,2022 Netherlands,WCQ — UEFA M,Davy Klaassen,MF,28.0,10.0,9,767.0,8.5,4.0,4.0,4.0,0.0,0.0,1.0,0.0,0.47,0.47,0.94,0.47,0.94,
3,2022 Netherlands,WCQ — UEFA M,Daley Blind,DF,31.0,9.0,9,764.0,8.5,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,
4,2022 Netherlands,WCQ — UEFA M,Georginio Wijnaldum,"MF,DF",31.0,9.0,9,725.0,8.1,2.0,2.0,2.0,0.0,0.0,2.0,0.0,0.25,0.25,0.5,0.25,0.5,
5,2022 Netherlands,WCQ — UEFA M,Denzel Dumfries,DF,25.0,10.0,8,678.0,7.5,1.0,1.0,1.0,0.0,0.0,2.0,0.0,0.13,0.13,0.27,0.13,0.27,
6,2022 Netherlands,WCQ — UEFA M,Steven Berghuis,FW,30.0,8.0,8,598.0,6.6,2.0,3.0,2.0,0.0,0.0,0.0,0.0,0.3,0.45,0.75,0.3,0.75,
7,2022 Netherlands,WCQ — UEFA M,Justin Bijlow,GK,24.0,6.0,6,540.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
8,2022 Netherlands,WCQ — UEFA M,Virgil van Dijk,DF,30.0,6.0,6,540.0,6.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.17,0.0,0.17,0.17,0.17,
9,2022 Netherlands,WCQ — UEFA M,Stefan de Vrij,DF,29.0,6.0,6,539.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
10,2022 Netherlands,WCQ — UEFA M,Matthijs de Ligt,DF,22.0,6.0,5,451.0,5.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,
11,2022 Netherlands,WCQ — UEFA M,Tim Krul,"GK,FW",33.0,3.0,3,270.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
12,2022 Netherlands,WCQ — UEFA M,Owen Wijndal,DF,22.0,3.0,3,261.0,2.9,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.69,0.69,0.0,0.69,
13,2022 Netherlands,WCQ — UEFA M,Cody Gakpo,FW,22.0,3.0,3,241.0,2.7,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.37,0.37,0.75,0.37,0.75,
14,2022 Netherlands,WCQ — UEFA M,Donyell Malen,FW,23.0,6.0,2,238.0,2.6,3.0,0.0,3.0,0.0,0.0,1.0,0.0,1.13,0.0,1.13,1.13,1.13,
15,2022 Netherlands,WCQ — UEFA M,Steven Bergwijn,FW,24.0,5.0,2,210.0,2.3,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.43,0.0,0.43,0.43,0.43,
16,2022 Netherlands,WCQ — UEFA M,Arnaut Groeneveld,FW,25.0,3.0,2,196.0,2.2,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.46,0.0,0.46,0.46,0.46,
17,2022 Netherlands,WCQ — UEFA M,Luuk de Jong,FW,31.0,3.0,2,187.0,2.1,3.0,0.0,3.0,0.0,0.0,1.0,0.0,1.44,0.0,1.44,1.44,1.44,
18,2022 Netherlands,WCQ — UEFA M,Noa Lang,FW,22.0,3.0,1,119.0,1.3,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.76,0.76,0.0,0.76,
19,2022 Netherlands,WCQ — UEFA M,Guus Til,MF,24.0,3.0,1,99.0,1.1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.91,0.0,0.91,0.91,0.91,
20,2022 Netherlands,WCQ — UEFA M,Marten de Roon,MF,30.0,3.0,1,97.0,1.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
21,2022 Netherlands,WCQ — UEFA M,Jasper Cillessen,GK,32.0,1.0,1,90.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
22,2022 Netherlands,WCQ — UEFA M,Tyrell Malacia,DF,22.0,1.0,1,90.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,
23,2022 Netherlands,WCQ — UEFA M,Jurrien Timber,DF,20.0,1.0,1,89.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
24,2022 Netherlands,WCQ — UEFA M,Kenny Tete,GK,26.0,1.0,1,68.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
25,2022 Netherlands,WCQ — UEFA M,Ryan Gravenberch,MF,19.0,6.0,0,128.0,1.4,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,
26,2022 Netherlands,WCQ — UEFA M,Teun Koopmeiners,"DF,MF",23.0,2.0,0,70.0,0.8,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.29,1.29,0.0,1.29,
27,2022 Netherlands,WCQ — UEFA M,Wout Weghorst,FW,29.0,2.0,0,46.0,0.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.96,1.96,0.0,1.96,
28,2022 Netherlands,WCQ — UEFA M,Donny van de Beek,MF,24.0,2.0,0,27.0,0.3,1.0,0.0,1.0,0.0,0.0,0.0,0.0,3.33,0.0,3.33,3.33,3.33,
29,2022 Netherlands,WCQ — UEFA M,Ryan Babel,"FW,MF",35.0,2.0,0,22.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
30,2022 Netherlands,WCQ — UEFA M,Devyne Rensch,DF,19.0,1.0,0,20.0,0.2,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,9.0,0.0,9.0,
31,2022 Netherlands,WCQ — UEFA M,Calvin Stengs,"FW,MF",23.0,2.0,0,17.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
32,2022 Netherlands,WCQ — UEFA M,Patrick van Aanholt,DF,31.0,1.0,0,9.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
33,2022 Netherlands,WCQ — UEFA M,Nathan Aké,"DF,MF",26.0,1.0,0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
34,2022 Netherlands,WCQ — UEFA M,Marco Bizot,GK,30.0,0.0,0,,,,,,,,,,,,,,,
35,2022 Netherlands,WCQ — UEFA M,Joel Drommel,GK,25.0,0.0,0,,,,,,,,,,,,,,,
36,2022 Netherlands,WCQ — UEFA M,Mark Flekken,GK,28.0,0.0,0,,,,,,,,,,,,,,,
37,2022 Netherlands,WCQ — UEFA M,Maarten Stekelenburg,GK,39.0,0.0,0,,,,,,,,,,,,,,,
38,2022 Netherlands,WCQ — UEFA M,Joël Veltman,DF,30.0,0.0,0,,,,,,,,,,,,,,,
0,2022 Senegal,WCQ — CAF M,Kalidou Koulibaly,DF,30.0,8.0,8,750.0,8.3,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.24,0.24,0.0,0.24,
1,2022 Senegal,WCQ — CAF M,Ismaila Sarr,"MF,FW",23.0,8.0,8,744.0,8.3,3.0,1.0,3.0,0.0,0.0,1.0,0.0,0.36,0.12,0.48,0.36,0.48,
2,2022 Senegal,WCQ — CAF M,Idrissa Gana Gueye,MF,32.0,8.0,8,711.0,7.9,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.13,0.0,0.13,0.13,0.13,
3,2022 Senegal,WCQ — CAF M,Saliou Ciss,DF,32.0,8.0,7,666.0,7.4,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.41,0.41,0.0,0.41,
4,2022 Senegal,WCQ — CAF M,Edouard Mendy,GK,29.0,7.0,7,660.0,7.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
5,2022 Senegal,WCQ — CAF M,Sadio Mané,"MF,FW",29.0,7.0,7,599.0,6.7,3.0,4.0,2.0,1.0,1.0,1.0,0.0,0.45,0.6,1.05,0.3,0.9,
6,2022 Senegal,WCQ — CAF M,Bouna Sarr,"DF,MF",30.0,6.0,6,517.0,5.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
7,2022 Senegal,WCQ — CAF M,Cheikhou Kouyaté,MF,32.0,6.0,5,449.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
8,2022 Senegal,WCQ — CAF M,Abdou Diallo,DF,25.0,5.0,5,373.0,4.1,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.24,0.0,0.24,0.24,0.24,
9,2022 Senegal,WCQ — CAF M,Boulaye Dia,FW,25.0,5.0,4,354.0,3.9,2.0,1.0,2.0,0.0,0.0,0.0,0.0,0.51,0.25,0.76,0.51,0.76,
10,2022 Senegal,WCQ — CAF M,Famara Diedhiou,FW,29.0,5.0,4,304.0,3.4,4.0,0.0,4.0,0.0,0.0,0.0,0.0,1.18,0.0,1.18,1.18,1.18,
11,2022 Senegal,WCQ — CAF M,Pape Abou Cisse,DF,26.0,4.0,3,355.0,3.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
12,2022 Senegal,WCQ — CAF M,Nampalys Mendy,MF,29.0,6.0,3,300.0,3.3,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,
13,2022 Senegal,WCQ — CAF M,Krepin Diatta,MF,22.0,4.0,3,244.0,2.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
14,2022 Senegal,WCQ — CAF M,Ibrahima Mbaye,DF,27.0,2.0,2,161.0,1.8,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,
15,2022 Senegal,WCQ — CAF M,Habib Diallo,FW,26.0,4.0,1,129.0,1.4,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.7,0.7,1.4,0.7,1.4,
16,2022 Senegal,WCQ — CAF M,Youssouf Sabaly,DF,28.0,1.0,1,120.0,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
17,2022 Senegal,WCQ — CAF M,Keita Baldé,MF,26.0,2.0,1,108.0,1.2,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.83,0.0,0.83,0.83,0.83,
18,2022 Senegal,WCQ — CAF M,Joseph Lopy,MF,29.0,2.0,1,108.0,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
19,2022 Senegal,WCQ — CAF M,Pape Matar Sarr,FW,19.0,3.0,1,92.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
20,2022 Senegal,WCQ — CAF M,Alfred Gomis,GK,28.0,1.0,1,90.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
21,2022 Senegal,WCQ — CAF M,Fodé Ballo-Touré,DF,25.0,4.0,1,88.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,
22,2022 Senegal,WCQ — CAF M,Abdallah Sima,MF,20.0,2.0,1,69.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
23,2022 Senegal,WCQ — CAF M,Bamba Dieng,FW,21.0,6.0,0,160.0,1.8,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.56,0.56,0.0,0.56,
24,2022 Senegal,WCQ — CAF M,Pape Gueye,MF,23.0,3.0,0,74.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
25,2022 Senegal,WCQ — CAF M,El Hadji Moutarou Baldé,DF,28.0,2.0,0,19.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
26,2022 Senegal,WCQ — CAF M,Moustapha Name,MF,26.0,2.0,0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
27,2022 Senegal,WCQ — CAF M,Abdoulaye Seck,DF,29.0,1.0,0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
28,2022 Senegal,WCQ — CAF M,Aliou Badara Faty,GK,22.0,0.0,0,,,,,,,,,,,,,,,
29,2022 Senegal,WCQ — CAF M,Seny Dieng,GK,27.0,0.0,0,,,,,,,,,,,,,,,
30,2022 Senegal,WCQ — CAF M,Bingourou Kamara,GK,25.0,0.0,0,,,,,,,,,,,,,,,
31,2022 Senegal,WCQ — CAF M,Loum Ndiaye,MF,25.0,0.0,0,,,,,,,,,,,,,,,
32,2022 Senegal,WCQ — CAF M,Sada Thioub,"FW,MF",26.0,0.0,0,,,,,,,,,,,,,,,
0,2022 Qatar,WCQ — AFC M,Almoez Ali,FW,25.0,,8,708.0,7.9,6.0,2.0,5.0,1.0,1.0,1.0,0.0,0.76,0.25,1.02,0.64,0.89,8.0
1,2022 Qatar,WCQ — AFC M,Boualem Khoukhi,"DF,MF",31.0,,8,703.0,7.8,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.13,0.13,0.26,0.13,0.26,8.0
2,2022 Qatar,WCQ — AFC M,Hassan Al-Haydos,"MF,FW",31.0,,8,648.0,7.2,2.0,0.0,1.0,1.0,2.0,1.0,0.0,0.28,0.0,0.28,0.14,0.14,8.0
3,2022 Qatar,WCQ — AFC M,Saad Al Sheeb,GK,31.0,,7,630.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0
4,2022 Qatar,WCQ — AFC M,Abdelkarim Hassan,"DF,MF",28.0,,7,611.0,6.8,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.15,0.15,0.29,0.15,0.29,7.0
5,2022 Qatar,WCQ — AFC M,Abdulaziz Hatem,MF,31.0,,7,584.0,6.5,2.0,1.0,2.0,0.0,0.0,0.0,0.0,0.31,0.15,0.46,0.31,0.46,7.0
6,2022 Qatar,WCQ — AFC M,Karim Boudiaf,"MF,DF",31.0,,6,481.0,5.3,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.19,0.0,0.19,0.19,0.19,7.0
7,2022 Qatar,WCQ — AFC M,Yusuf Abdurisag,"FW,MF",22.0,,6,427.0,4.7,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.21,0.42,0.63,0.21,0.63,7.0
8,2022 Qatar,WCQ — AFC M,Bassam Al Rawi,DF,24.0,,5,497.0,5.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0
